WQI,temperature,pH,oxygen,Conductivity,Turbidity,Permanganate,AmmoniaNitrogen,phosphorus,nitrogen,day_of_week,month
0.29328934864140366,0.7466448666282274,0.6798243971663175,0.45362288240251647,0.5776992143545806,0.05166720685949849,0.28411266065080665,0.01706875518991273,0.06150052662814523,0.13945116910738206,0.0,0.9090909090909091
0.3072709090272662,0.7282642000894909,0.7169576564709024,0.4520461881424237,0.5730761269470857,0.06409544692833635,0.25567404976756913,0.01925467206709501,0.061350250448235284,0.15934644818743135,0.16666666666666666,0.9090909090909091
0.23426825703922288,0.7272706505468566,0.722883176572698,0.4043511867746171,0.6222876757979195,0.056080974360581085,0.2873940388296419,0.02918431575386985,0.03987954124360181,0.17647849406191815,0.3333333333333333,0.9090909090909091
0.317023171576357,0.7277674253181737,0.7254509019501426,0.3965991066624944,0.6221051855055185,0.05642942968961395,0.23325129887886253,0.03120745158700665,0.061312681403257796,0.18016280500266801,0.5,0.9090909090909091
0.326267918638793,0.7183287046631468,0.7382895288373662,0.410132399061624,0.6144405932246716,0.0700191875218946,0.2715340442986055,0.02934709679791534,0.06217676943773998,0.18071545164378053,0.6666666666666666,0.9090909090909091
0.24118440245688472,0.7078964344654857,0.7357218034599213,0.3954165859674248,0.6244167292092659,0.06305008094123785,0.2534864643150123,0.029323842363051703,0.04153257922261121,0.1831102537552679,0.8333333333333333,0.9090909090909091
0.3158290169632776,0.6944835156399213,0.742437392908623,0.3828030318866825,0.6135281417626661,0.06746384844232045,0.24227508887065896,0.02795183070609686,0.062120415870273754,0.18016280500266801,1.0,0.9090909090909091
0.26546057048755395,0.6999480381244105,0.7357218034599213,0.37347425751446695,0.6255116709636726,0.06316623271758212,0.20973475526387753,0.03053307297596105,0.06180107898796512,0.12379284760919523,0.0,0.9090909090909091
0.30234999684277836,0.7004448128957277,0.7128097923996456,0.3965991066624944,0.6436998701063171,0.054687153044449766,0.17828821438337428,0.027882067401505936,0.06133146592574654,0.17076781210375586,0.16666666666666666,0.9090909090909091
0.30299185494730857,0.7088899840081201,0.7153775177770902,0.3863505939718913,0.6643821032451102,0.0455111627132517,0.14301339896089693,0.02902153470982436,0.06104969808841539,0.17887329617340555,0.3333333333333333,0.9090909090909091
0.29112096294455236,0.7225016127422115,0.7335491127559298,0.4388545128329807,0.6699663061925841,0.038611747198401505,0.06021328958162431,0.025142694974568988,0.059144947508056836,0.1712099294166459,0.5,0.9090909090909091
0.3184462058484882,0.7307480739460769,0.7440175316024351,0.4909379798913788,0.6602456566173516,0.029598369354085458,0.18867924528301894,0.015068873791639572,0.06031710171135441,0.1781364339852556,0.6666666666666666,0.9090909090909091
0.3058080696262439,0.7401867946011037,0.7888539670393542,0.5161650880528632,0.6359136176305362,0.02983067290677401,0.20727372162975122,0.006953076024228753,0.060185610053933206,0.16045174146965627,0.8333333333333333,0.9090909090909091
0.30428552241993306,0.7451545423142758,0.7837185162844649,0.48344868215593817,0.6422399477671081,0.030876038893872516,0.23270440251572322,0.006046153064546743,0.06033588623384315,0.1648729145985561,1.0,0.9090909090909091
0.2864030570890688,0.7521093891127166,0.7851011376415504,0.4700467809451495,0.6413883264025697,0.03621902060570936,0.10144927536231885,0.0037439640130462514,0.060542515981219326,0.1621096813929937,0.0,0.9090909090909091
0.2735310654640387,0.7421738936863727,0.7675220946728905,0.4230087355190484,0.640415044843097,0.03889051146162778,0.06644790812141099,0.003906745057091741,0.060580085026196814,0.16303075912818119,0.16666666666666666,0.9090909090909091
0.27328228327785875,0.7367093712018834,0.7521157424082222,0.37373703989114915,0.6414491565000366,0.047601894687448715,0.19250751982499315,0.0050694668002738055,0.060598869548685555,0.16137281920484375,0.3333333333333333,0.9090909090909091
0.28693545099585516,0.7421738936863727,0.7272285579806812,0.4209064765055913,0.6409625157203004,0.04121354698851336,0.1607875307629204,0.005883372020501253,0.06069279216112927,0.16745193225708102,0.5,0.9090909090909091
0.30112101262063795,0.7411803441437381,0.7124147577261926,0.4830545085909149,0.6379818409444155,0.038077449027217825,0.16789718348372984,0.003929999491955382,0.06112483617837037,0.16616242342781856,0.6666666666666666,0.9090909090909091
0.3001507619975109,0.7103803083220717,0.7167601391341758,0.4661050452949176,0.6419357972797729,0.05898476876918807,0.1818430407437791,0.005046212365410165,0.062064062302807525,0.1626623280341062,0.8333333333333333,0.9090909090909091
0.30488259972647275,0.6756060743298676,0.7211055205421593,0.45743322686440724,0.6475929963442075,0.07048379462727171,0.16625649439431234,0.009092484031683754,0.062402183707604905,0.16782036335115602,1.0,0.9090909090909091
0.3020166285058128,0.6497737862213732,0.7282161446643137,0.4746454725370868,0.6416924768899049,0.0678123037713533,0.1572327044025157,0.008766921943592776,0.06257124441000358,0.1598990948285438,0.0,0.9090909090909091
0.3042606442237054,0.6428189394229323,0.7321664913988442,0.49724475693174996,0.6427265885468444,0.05573251903154826,0.16680339075745143,0.00639496958750136,0.062082846825296266,0.15953066373446884,0.16666666666666666,0.9999999999999999
0.3101070260840605,0.6388447412523947,0.7258459366235956,0.5010551013936407,0.6601239964224174,0.05085414442508854,0.17281925075198246,0.003999762796546306,0.06159444924058895,0.16929408772745594,0.3333333333333333,0.9999999999999999
