P,Pt,Q,Qt,S,St,day_of_week,month
0.8381997536610886,0.854152367027464,0.8288506114056089,0.7597455648926238,0.8636452389738029,0.8379204967090201,1.0,0.2727272727272727
0.6066995586802437,0.6634490820777451,0.6448812195091791,0.5069444444444444,0.6859926746528556,0.6432355498536971,0.0,0.2727272727272727
0.453933668303307,0.5375663459158508,0.6002417077442859,0.44568452380952384,0.5709434300736765,0.5180965947263079,0.16666666666666666,0.2727272727272727
0.612529851173987,0.6677988820621913,0.6888101772478521,0.572420634920635,0.6907887870051043,0.6471584784548908,0.3333333333333333,0.2727272727272727
0.6170509905813575,0.6721486820466374,0.6872726338717874,0.5729166666666666,0.6982321623669634,0.6575209313637047,0.5,0.2727272727272727
0.6132844888523774,0.6710790590996424,0.7460545591753577,0.6552579365079364,0.6980437649853607,0.6588039017238435,0.6666666666666666,0.2727272727272727
0.5205352196091169,0.5927588899807902,0.7142856289526297,0.6041666666666666,0.6291044997553737,0.5818503526224383,0.8333333333333333,0.2727272727272727
0.394011138070038,0.48548759309660794,0.6061530395590591,0.4466765873015873,0.5296903725286166,0.4697384811518435,1.0,0.2727272727272727
0.2719279559826528,0.38634543060958726,0.4867530934639964,0.2837301587301587,0.43381065479355224,0.3658672269944481,0.0,0.2727272727272727
0.24211355864203427,0.35915323835709345,0.4078696544690788,0.17063492063492058,0.40750366516760655,0.33438510815719485,0.16666666666666666,0.2727272727272727
0.22785472747072194,0.34907501325651885,0.4095952856756136,0.17361111111111105,0.39142870521536344,0.3183973236693108,0.3333333333333333,0.2727272727272727
0.5116558087996483,0.5818249665226195,0.5980324221165424,0.4377480158730158,0.6183251850147181,0.5652210829544848,0.5,0.2727272727272727
0.26694257111743686,0.38304148417331396,0.4541452318069496,0.2435515873015872,0.4291346690885831,0.36167290081707115,0.6666666666666666,0.2727272727272727
0.40869218424622195,0.5013655515097774,0.5360649457794554,0.351438492063492,0.5373269951056645,0.48167997450390493,0.8333333333333333,0.2727272727272727
0.27062310146533447,0.3847053420908617,0.47657246644966483,0.27306547619047616,0.42781626048148547,0.35918097761757073,1.0,0.2727272727272727
0.522021569264276,0.5916417282361509,0.5996714732106385,0.4454365079365079,0.626690774886126,0.5769651962511404,0.0,0.2727272727272727
0.4258162505014997,0.5101602290739581,0.5604894940504955,0.39236111111111105,0.5499996102653977,0.4899699368309561,0.16666666666666666,0.2727272727272727
0.4973196033853618,0.5751695348524287,0.597874189497258,0.43824404761904756,0.6012481748308213,0.5528354844777598,0.3333333333333333,0.2727272727272727
0.5267681447375963,0.5992954746568704,0.588380232340198,0.4164186507936507,0.6225419287855228,0.575731570904853,0.5,0.2727272727272727
0.41396031943144257,0.504526881553118,0.6002058814908631,0.4429563492063492,0.5422040623723839,0.4854548680635444,0.6666666666666666,0.2727272727272727
0.2956307433658751,0.39868174859826233,0.4612836128014561,0.24975198412698407,0.4506753914920391,0.3768958375902571,0.8333333333333333,0.2727272727272727
0.29746241140171564,0.40852227971061583,0.45002222714220125,0.23859126984126977,0.45128199375438793,0.3871102554575164,1.0,0.2727272727272727
0.2574212406625528,0.37391403502562376,0.4079592201026359,0.17658730158730152,0.42177747153890255,0.35239603821299026,0.0,0.2727272727272727
0.39281588733155554,0.5392753582399383,0.4585836067072232,0.31598310693138276,0.5232629957864452,0.5235373078914854,0.16666666666666666,0.2727272727272727
0.3102329824427335,0.41634241192309,0.4719568508003521,0.2723214285714286,0.4559613370364549,0.3886646233938385,0.3333333333333333,0.2727272727272727
0.3431241999885371,0.4447468435155114,0.4952080892717932,0.2983630952380951,0.4819012315663666,0.41824695919780924,0.5,0.2727272727272727
0.3159806468868807,0.42207083703921855,0.5081861495742271,0.31200396825396826,0.4619367050783003,0.3960663754715626,0.6666666666666666,0.2727272727272727
0.16177951206465047,0.29735280141960757,0.3481084782386168,0.083829365079365,0.3434295291524355,0.26878091224163336,0.8333333333333333,0.2727272727272727
0.6294939151366945,0.6805155104320201,0.6786056660645718,0.5372023809523808,0.7073629067525642,0.664601940851394,1.0,0.2727272727272727
0.2745023212272892,0.3885322153012214,0.5028092260396784,0.29985119047619035,0.4349085825045562,0.36756962997232473,0.0,0.2727272727272727
0.561218787612479,0.6174790647557845,0.5984474095520239,0.43700396825396826,0.6490492538449748,0.5944333311545694,0.16666666666666666,0.36363636363636365
0.3072755669334964,0.4148449397972971,0.5902999224194401,0.4332837301587301,0.45706187619631283,0.3909838390448587,0.3333333333333333,0.36363636363636365
0.3239430296314693,0.4276091069647701,0.6277592558941669,0.4818948412698413,0.4705481442060969,0.4049978229786831,0.5,0.36363636363636365
0.30515923810251605,0.41432201302321064,0.6051170637309143,0.4531249999999999,0.4532767676146456,0.38812182824147207,0.6666666666666666,0.36363636363636365
0.2952902283896684,0.4031451263355235,0.6088299067573473,0.4566904651598883,0.4482903510798094,0.3792616206692206,0.8333333333333333,0.36363636363636365
0.2808541734329328,0.3935475584526866,0.5880189842848508,0.4216269841269841,0.4359225707881134,0.3683838227008744,1.0,0.36363636363636365
0.12391723821714457,0.2640043348721873,0.4328913069638333,0.2043650793650793,0.31374145938893316,0.23453547262869634,0.0,0.36363636363636365
0.04907389717822819,0.20015972963599996,0.3607223049645848,0.10094246031746029,0.25568671298200185,0.1683391365469169,0.16666666666666666,0.36363636363636365
0.4045794088989932,0.4921667941656208,0.5588474574352807,0.3871527777777777,0.5375840362857127,0.4757832453486515,0.3333333333333333,0.36363636363636365
0.4313508969680759,0.5191450618287157,0.5500580832622038,0.3762400793650793,0.5537022716761061,0.4991727819142597,0.5,0.36363636363636365
0.33069035019009224,0.43238675612801425,0.5281383872096459,0.3363095238095237,0.475070427492808,0.4082545938928817,0.6666666666666666,0.36363636363636365
0.18137668838240067,0.3109488975458545,0.40577381864384104,0.1753472222222222,0.3595104581306304,0.2838311414663391,0.8333333333333333,0.36363636363636365
0.15100252182717838,0.28639510856261485,0.39242853924382276,0.15649801587301582,0.3373071738465277,0.25984946473451287,1.0,0.36363636363636365
0.111478134612078,0.25340318299752623,0.36158213504673364,0.10515873015873012,0.303706407571639,0.22256930676970904,0.0,0.36363636363636365
0.17824780772978238,0.30802526149073495,0.3554827154014904,0.10243055555555552,0.35383092993751963,0.2773669446517933,0.16666666666666666,0.36363636363636365
0.2966141604417018,0.3983727464135749,0.4124046610481901,0.17757936507936511,0.4460143283519494,0.3711471434765581,0.3333333333333333,0.36363636363636365
0.2621807118430353,0.3792146109629543,0.43735764655721754,0.21031746031746024,0.42528278202908043,0.35735521210506543,0.5,0.36363636363636365
0.2749899700055403,0.3898395322364374,0.44038795049256846,0.22048611111111105,0.43150661077616836,0.36463360164816083,0.6666666666666666,0.36363636363636365
0.2781675677741054,0.3940229464291288,0.4141720895503849,0.1897321428571429,0.4385392425397213,0.3738117742245387,0.8333333333333333,0.36363636363636365
0.2164138471237797,0.3417064996216647,0.4059559354320739,0.17931547619047616,0.38998606625564464,0.3190388088493802,1.0,0.36363636363636365
0.33868671755239527,0.4451034836058298,0.4013383882190632,0.17574139338385342,0.47728600424056955,0.4179256165120537,0.0,0.36363636363636365
0.2687761496284126,0.3835406415485783,0.4101386505191938,0.1572420634920635,0.4246056706476763,0.35715783204965945,0.16666666666666666,0.36363636363636365
0.37194897120913967,0.4663769964436315,0.4759425214936461,0.27529761904761907,0.5136754759000132,0.4508146683397954,0.3333333333333333,0.36363636363636365
0.3849850982939456,0.48456058654254563,0.4902073413981846,0.2894345238095237,0.5179134843257711,0.46391576951736707,0.5,0.36363636363636365
0.40835355252851374,0.49894107282992206,0.5037138389386058,0.3067956349206349,0.543116204150639,0.486170370764391,0.6666666666666666,0.36363636363636365
0.38459488374758805,0.48080502152865223,0.4928913248837811,0.29315476190476186,0.5213729079289448,0.46416249458662456,0.8333333333333333,0.36363636363636365
0.20376602411019618,0.3301308023952972,0.35194487287598225,0.09945436507936506,0.37410621883920003,0.30080582623125307,1.0,0.36363636363636365
0.3416345070018913,0.44507961509902094,0.38631419199298667,0.1540178571428571,0.47744647288573505,0.41508887831131364,0.0,0.36363636363636365
0.17911325296601266,0.3085244188659993,0.3512701451031849,0.09945436507936506,0.35140750540110033,0.2742088637652977,0.16666666666666666,0.36363636363636365
0.2632873545650803,0.38304148417331396,0.387317327088827,0.14558531746031744,0.41505075235537786,0.3492379573264946,0.3333333333333333,0.36363636363636365
0.23752746308006795,0.35677629847488246,0.34524536348590595,0.09102182539682535,0.3942091521165231,0.3213580245004004,0.5,0.36363636363636365
0.23409768259366104,0.3532346580503881,0.4168023336558472,0.18377976190476186,0.3989299055161305,0.32621850836477256,0.6666666666666666,0.4545454545454545
0.2558436658196893,0.3677339913318752,0.39461692622373634,0.15674603174603174,0.41546597272314795,0.34013380227089396,0.8333333333333333,0.4545454545454545
0.20937135815677355,0.3346945269691423,0.3860723647823823,0.14260912698412687,0.3780759941612502,0.30517285995711035,1.0,0.4545454545454545
0.34259595361366363,0.4509031178104379,0.4752767502842045,0.265625,0.4828100157675239,0.42636421397637997,0.0,0.4545454545454545
0.22756958905679842,0.34843323948832183,0.3481502755342768,0.10168650793650791,0.3888855270957867,0.3156340028936271,0.16666666666666666,0.4545454545454545
0.3562252832279387,0.4614091920898105,0.5561724305130399,0.38566468253968256,0.49317187175567756,0.437195444516783,0.3333333333333333,0.4545454545454545
0.32487868482891696,0.4261354042377993,0.4726524772209794,0.2653769841269841,0.46605122927968096,0.3975960709009589,0.5,0.4545454545454545
0.28566522744206485,0.39630480871605134,0.47080443964858315,0.2599206349206349,0.4365694639756367,0.36801373509698815,0.6666666666666666,0.4545454545454545
0.47710582121773676,0.5537533065137077,0.5329868735062073,0.35243055555555547,0.5861625809300843,0.5310743333692508,0.8333333333333333,0.4545454545454545
0.10520986569359797,0.24719936990495556,0.367995034409427,0.11557539682539686,0.2938485612122881,0.21040576085531576,1.0,0.4545454545454545
0.07287602926847903,0.2209579536053462,0.36128955397711354,0.11334325396825395,0.2715654412060805,0.18684351674122723,0.0,0.4545454545454545
0.0015852167434040887,0.1612967625618502,0.29756659122230605,0.02356150793650791,0.21494736473291626,0.12417534914982963,0.16666666666666666,0.4545454545454545
0.07597481993771849,0.21449267712573225,0.3689772708574373,0.109375,0.2750233725527662,0.18141556521756286,0.3333333333333333,0.4545454545454545
0.13754656783141966,0.2737497883892524,0.44069844468889996,0.2254464285714285,0.3235515535406699,0.2435162651496683,0.5,0.4545454545454545
0.19451693636207323,0.32390321990390436,0.5001491267230305,0.30629960317460314,0.3683065639988099,0.29597001487380664,0.6666666666666666,0.4545454545454545
0.0,0.15996567622781202,0.28474079249691947,0.0,0.21488953979400843,0.12420002165675535,0.8333333333333333,0.4545454545454545
0.10266129186328637,0.24624859395207116,0.39419596774601756,0.15947420634920628,0.2967084707714307,0.21556231480279686,1.0,0.4545454545454545
0.06641814569283377,0.21494429570335236,0.3572083466080252,0.09176587301587302,0.2669327309392617,0.18146491023141442,0.0,0.4545454545454545
0.33124008941023625,0.42218968403332907,0.500814897932472,0.2859623015873015,0.47495738906384627,0.39754672588710743,0.16666666666666666,0.4545454545454545
0.2406625527768756,0.36290880337098685,0.45352722893540515,0.24255952380952372,0.41052250004271507,0.3427737605119489,0.3333333333333333,0.4545454545454545
0.14120417247769523,0.2767685020396603,0.3475292871416138,0.09523809523809523,0.32457486842727673,0.244330457878218,0.5,0.4545454545454545
